uri,label,desc
http://xmlns.com/foaf/0.1/Agent,agent,"An agent (eg. person, group, software or physical artifact)."
http://xmlns.com/foaf/0.1/Document,document,A document.
http://xmlns.com/foaf/0.1/Group,group,A class of Agents.
http://xmlns.com/foaf/0.1/Image,image,An image.
http://xmlns.com/foaf/0.1/LabelProperty,label property,A foaf:LabelProperty is any RDF property with texual values that serve as labels.
http://xmlns.com/foaf/0.1/OnlineAccount,online account,An online account.
http://xmlns.com/foaf/0.1/OnlineChatAccount,online chat account,An online chat account.
http://xmlns.com/foaf/0.1/OnlineEcommerceAccount,online e-commerce account,An online e-commerce account.
http://xmlns.com/foaf/0.1/OnlineGamingAccount,online gaming account,An online gaming account.
http://xmlns.com/foaf/0.1/Organization,organization,An organization.
http://xmlns.com/foaf/0.1/Person,person,A person.
http://xmlns.com/foaf/0.1/PersonalProfileDocument,personalprofiledocument,A personal profile RDF document.
http://xmlns.com/foaf/0.1/Project,project,A project (a collective endeavour of some kind).
http://xmlns.com/foaf/0.1/account,account,Indicates an account held by this agent.
http://xmlns.com/foaf/0.1/holdsAccount,account,Indicates an account held by this agent.
http://xmlns.com/foaf/0.1/accountName,account name,Indicates the name (identifier) associated with this online account.
http://xmlns.com/foaf/0.1/accountServiceHomepage,account service homepage,Indicates a homepage of the service provide for this online account.
http://xmlns.com/foaf/0.1/age,age,The age in years of some agent.
http://xmlns.com/foaf/0.1/aimChatID,aim chat id,An AIM chat ID
http://xmlns.com/foaf/0.1/based_near,based near,"A location that something is based near, for some broadly human notion of near."
http://xmlns.com/foaf/0.1/birthday,birthday,"The birthday of this Agent, represented in mm-dd string form, eg. '12-31'."
http://xmlns.com/foaf/0.1/currentProject,current project,A current project this person works on.
http://xmlns.com/foaf/0.1/depiction,depiction,A depiction of some thing.
http://xmlns.com/foaf/0.1/depicts,depicts,A thing depicted in this representation.
http://xmlns.com/foaf/0.1/dnaChecksum,dna checksum,A checksum for the DNA of some thing. Joke.
http://xmlns.com/foaf/0.1/familyName,familyname,The family name of some person.
http://xmlns.com/foaf/0.1/family_name,family_name,The family name of some person.
http://xmlns.com/foaf/0.1/firstName,firstname,The first name of a person.
http://xmlns.com/foaf/0.1/focus,focus,The underlying or 'focal' entity associated with some SKOS-described concept.
http://xmlns.com/foaf/0.1/fundedBy,funded by,An organization funding a project or person.
http://xmlns.com/foaf/0.1/geekcode,geekcode,"A textual geekcode for this person, see http://www.geekcode.com/geek.html"
http://xmlns.com/foaf/0.1/gender,gender,The gender of this Agent (typically but not necessarily 'male' or 'female').
http://xmlns.com/foaf/0.1/givenName,given name,The given name of some person.
http://xmlns.com/foaf/0.1/givenname,given name,The given name of some person.
http://xmlns.com/foaf/0.1/homepage,homepage,A homepage for some thing.
http://xmlns.com/foaf/0.1/icqChatID,icq chat id,An ICQ chat ID
http://xmlns.com/foaf/0.1/img,image,"An image that can be used to represent some thing (ie. those depictions which are particularly representative of something, eg. one's photo on a homepage)."
http://xmlns.com/foaf/0.1/interest,interest,A page about a topic of interest to this person.
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,is primary topic of,A document that this thing is the primary topic of.
http://xmlns.com/foaf/0.1/jabberID,jabber id,A jabber ID for something.
http://xmlns.com/foaf/0.1/knows,knows,A person known by this person (indicating some level of reciprocated interaction between the parties).
http://xmlns.com/foaf/0.1/lastName,lastname,The last name of a person.
http://xmlns.com/foaf/0.1/logo,logo,A logo representing some thing.
http://xmlns.com/foaf/0.1/made,made,Something that was made by this agent.
http://xmlns.com/foaf/0.1/maker,maker,An agent that made this thing.
http://xmlns.com/foaf/0.1/mbox,personal mailbox,"A personal mailbox, ie. an Internet mailbox associated with exactly one owner, the first owner of this mailbox. This is a 'static inverse functional property', in that there is (across time and change) at most one individual that ever has any particular value for foaf:mbox."
http://xmlns.com/foaf/0.1/mbox_sha1sum,sha1sum of a personal mailbox uri name,"The sha1sum of the URI of an Internet mailbox associated with exactly one owner, the first owner of the mailbox."
http://xmlns.com/foaf/0.1/member,member,Indicates a member of a Group
http://xmlns.com/foaf/0.1/membershipClass,membershipclass,Indicates the class of individuals that are a member of a Group
http://xmlns.com/foaf/0.1/msnChatID,msn chat id,An MSN chat ID
http://xmlns.com/foaf/0.1/myersBriggs,myersbriggs,A Myers Briggs (MBTI) personality classification.
http://xmlns.com/foaf/0.1/name,name,A name for some thing.
http://xmlns.com/foaf/0.1/nick,nickname,"A short informal nickname characterising an agent (includes login identifiers, IRC and other chat nicknames)."
http://xmlns.com/foaf/0.1/openid,openid,An OpenID for an Agent.
http://xmlns.com/foaf/0.1/page,page,A page or document about this thing.
http://xmlns.com/foaf/0.1/pastProject,past project,A project this person has previously worked on.
http://xmlns.com/foaf/0.1/phone,phone,"A phone, specified using fully qualified tel: URI scheme (refs: http://www.w3.org/Addressing/schemes.html#tel)."
http://xmlns.com/foaf/0.1/plan,plan,"A .plan comment, in the tradition of finger and '.plan' files."
